tracknum,asymmetry,moment,motion,mssSlope,normDiffCoeff,genDiffCoeff,scalingPower
1,1.0,2.0,3.0,0.61042158358,0.179263977408,0.152586189432,1.17587955661
1,0.0,1.0,nan,0.124347056818,0.0566049563244,0.124621668233,0.226871704885
2,0.0,2.0,nan,0.27626828684990873,0.05466868677122129,0.0807932951609,0.630019529228
3,1,2,2,0.4875955446214487,0.09582200210456307,0.109831899095,0.85748416025
4,0.0,nan,nan,nan,nan,nan,nan
5,0.0,nan,nan,nan,nan,nan,nan
6,0.0,nan,nan,nan,nan,nan,nan
7,1.0,nan,nan,nan,nan,nan,nan
8,0.0,2.0,nan,0.2764884989125268,0.21760515005803635,0.204115708195,1.05415408982
9,0.0,1.0,nan,-0.08877747944332012,0.07239916702564529,0.217287149525,-0.147808720498
10,0.0,1.0,nan,0.12876128900552763,0.036425362025010975,0.0799022438909,0.173181242311
11,0.0,nan,nan,nan,nan,nan,nan
12,0.0,nan,nan,nan,nan,nan,nan
12,0.0,2.0,nan,0.239545939057,0.0620450819798,0.0815138400423,0.746175403685
13,0.0,nan,nan,nan,nan,nan,nan
14,0.0,1.0,nan,0.11781171984797874,0.24831950435419972,0.424986489676,0.446945064059
15,0.0,2.0,nan,0.3030657267493567,0.09179614038932615,0.174922690576,0.326605778381
16,0.0,2.0,nan,0.327629195428,0.166123074438,0.201364214613,0.850386862589
16,0.0,1.0,nan,0.168719636244,0.124688105651,0.148100852174,0.820283751775
17,0.0,1.0,nan,0.04613836816515495,0.07763671989453232,0.161470952004,0.256670324858
18,0.0,nan,nan,nan,nan,nan,nan
19,0.0,1.0,nan,0.233624532145,0.0472988171505,0.078858960348,0.419639212584
19,0.0,nan,nan,nan,nan,nan,nan
20,0.0,2.0,nan,0.24923219588385795,0.22963398149036643,0.365178718636,0.470108458499
21,0.0,1.0,nan,0.16695379054115936,0.017803192333096716,0.0363425828015,0.231797343052
22,0.0,1.0,nan,0.26141668335937834,0.22452745153708892,0.33128320479,0.638267774928
23,1.0,nan,nan,nan,nan,nan,nan
24,0.0,nan,nan,nan,nan,nan,nan
25,1.0,nan,nan,nan,nan,nan,nan
25,0.0,2.0,nan,0.359089205682,0.245333807879,0.340038108507,0.606249441561
26,0.0,nan,nan,nan,nan,nan,nan
27,0.0,1.0,nan,0.20177434799685592,0.0959939193568501,0.152873903698,0.522289779433
28,0.0,1.0,nan,0.200429488299,0.0183044722299,0.0316357894815,0.428529803886
28,0.0,nan,nan,nan,nan,nan,nan
28,1.0,2.0,2.0,0.545923772065,0.0638707816719,0.0585963321276,1.10656712258
29,0.0,nan,nan,nan,nan,nan,nan
30,0.0,nan,nan,nan,nan,nan,nan
31,0.0,1.0,nan,0.2545991793206027,0.1561040567477145,0.256992552944,0.496301340739
32,0.0,1.0,nan,-0.027574410188712005,0.13121577111751329,0.262641508987,0.227425345668
33,0.0,nan,nan,nan,nan,nan,nan
34,0.0,nan,nan,nan,nan,nan,nan
35,0.0,1.0,nan,0.1352272909243626,0.11642118813614523,0.195854309315,0.423096706919
36,0.0,nan,nan,nan,nan,nan,nan
36,0.0,nan,nan,nan,nan,nan,nan
37,1.0,nan,nan,nan,nan,nan,nan
38,0.0,1.0,nan,0.09271091469732468,0.16557223977190746,0.278959260313,0.398861141973
39,0.0,2.0,nan,0.37184977000526126,0.19824036285927393,0.234230523934,0.824612368412
40,0.0,1.0,nan,0.213587842694,0.145479171251,0.256071017095,0.398641634454
40,0.0,nan,nan,nan,nan,nan,nan
40,0.0,nan,nan,nan,nan,nan,nan
41,0.0,2.0,nan,0.47674197038146887,0.1175202699481274,0.138972568037,0.943403106033
42,0.0,nan,nan,nan,nan,nan,nan
43,0.0,1.0,nan,0.0903108926025,0.0297517131281,0.0692577905161,0.137599105402
43,0.0,2.0,nan,0.313936971348,0.117135101458,0.166297583445,0.634928277921
44,1,2,2,0.4407645835295941,0.2517858706816257,0.279328860977,0.929979979805
45,0.0,nan,nan,nan,nan,nan,nan
46,0.0,1.0,nan,0.17096267425817863,0.3694977973479284,0.671658811205,0.335778253702
47,0.0,2.0,nan,0.429060475051218,0.23417125600048694,0.247902328909,0.963853601234
48,0.0,1.0,nan,0.2020192161823579,0.13447393254931844,0.195537316332,0.567346324789
49,1,2,2,0.28215123303010586,0.33991237031721566,0.465044357285,0.510218180726
50,0.0,2.0,nan,0.38916907648374266,0.3478244935683134,0.368389240881,0.887638659679
51,1.0,nan,nan,nan,nan,nan,nan
52,0.0,nan,nan,nan,nan,nan,nan
53,0.0,nan,nan,nan,nan,nan,nan
54,0.0,nan,nan,nan,nan,nan,nan
55,0.0,nan,nan,nan,nan,nan,nan
56,0.0,2.0,nan,0.34211552509927584,0.3613074674825145,0.496458087693,0.665535594072
57,0.0,nan,nan,nan,nan,nan,nan
58,0.0,2.0,nan,0.1992274323694922,0.13418969692297114,0.279543494882,0.233519879378
59,0.0,nan,nan,nan,nan,nan,nan
60,0.0,1.0,nan,0.173640020758,0.0802570470675,0.144948346737,0.384177338834
60,0.0,1.0,nan,0.0765863882743,0.0732570205305,0.143726407155,0.303153184623
60,0.0,1.0,nan,0.170795551031,0.0761993948851,0.141801433491,0.388800364637
61,0.0,nan,nan,nan,nan,nan,nan
62,0.0,nan,nan,nan,nan,nan,nan
62,0.0,1.0,nan,0.20524288032,0.138669748838,0.267290110905,0.286036056988
62,0.0,nan,nan,nan,nan,nan,nan
63,0.0,2.0,nan,0.299061433211,0.264999402944,0.371216847581,0.620921309695
63,0.0,1.0,nan,0.103255294476,0.217594464934,0.397362347883,0.350789742625
63,0.0,nan,nan,nan,nan,nan,nan
64,0.0,nan,nan,nan,nan,nan,nan
65,0.0,nan,nan,nan,nan,nan,nan
66,0.0,2.0,nan,0.4825425927726527,0.18024823641428062,0.182080613791,1.02127815813
67,0.0,1.0,nan,0.12862974558048668,0.11994768387423885,0.259745895969,0.125508121962
68,0.0,nan,nan,nan,nan,nan,nan
69,0.0,1.0,nan,0.1456403286571004,0.04352119283365315,0.0799743125923,0.366128820424
70,0.0,2.0,nan,0.2689450584313524,0.11566990755696965,0.153345467093,0.679260579863
71,0.0,nan,nan,nan,nan,nan,nan
72,0.0,2.0,nan,0.4216736860153725,0.19068120960766283,0.185791679951,1.03252591185
73,0.0,2.0,nan,0.4780989306861442,0.3486425718626656,0.312789158066,1.12327214033
74,0.0,nan,nan,nan,nan,nan,nan
75,0.0,1.0,nan,0.11559864357229559,0.22694906851191318,0.315083176846,0.646496683259
76,0.0,2.0,nan,0.34787951009780194,0.16379345985665503,0.215922719576,0.711420577033
77,0.0,nan,nan,nan,nan,nan,nan
78,0.0,nan,nan,nan,nan,nan,nan
78,0.0,2.0,nan,0.329573142531,0.139196794965,0.209167678991,0.641578958772
79,0.0,nan,nan,nan,nan,nan,nan
80,0.0,1.0,nan,0.278462678791,0.15607251263,0.247909993867,0.501448944051
80,0.0,1.0,nan,0.140189360859,0.132614788426,0.252167617291,0.209092480551
81,0.0,1.0,nan,0.125995636101,0.0872740628114,0.13689138434,0.487454450644
81,1.0,nan,nan,nan,nan,nan,nan
82,0.0,nan,nan,nan,nan,nan,nan
83,1,2,2,0.44653974708558264,0.6377843329645294,0.621439413307,1.02646602557
84,0.0,1.0,nan,0.0616071008139536,0.06217070561759772,0.139029360281,0.140094653581
85,0.0,nan,nan,nan,nan,nan,nan
86,0.0,1.0,nan,-0.06995211940545737,0.14818373611041796,0.301667606639,0.257572811449
87,1.0,nan,nan,nan,nan,nan,nan
88,0.0,nan,nan,nan,nan,nan,nan
89,1.0,nan,nan,nan,nan,nan,nan
90,1.0,nan,nan,nan,nan,nan,nan
91,1,1,2,0.14190664954328092,0.21713409704459827,0.460746805262,0.203788982689
92,0.0,nan,nan,nan,nan,nan,nan
93,1.0,nan,nan,nan,nan,nan,nan
94,0.0,2.0,nan,0.517360081402,0.576375040016,0.555713549971,1.01172748694
94,0.0,nan,nan,nan,nan,nan,nan
95,0.0,nan,nan,nan,nan,nan,nan
96,0.0,2.0,nan,0.5565681241549066,0.31381573525008544,0.33317919911,0.937467779918
97,1,2,2,0.465435072773,0.137463421494,0.158187357503,0.82555074788
97,1,2,2,0.523496836666,0.0628058732393,0.0639818744853,1.05313957456
98,0.0,1.0,nan,0.03738799149556791,0.06710794020713971,0.168229874696,0.0624176472856
99,0.0,1.0,nan,0.043968652400402534,0.043270699412748144,0.0833764631638,0.293212433312
100,0.0,1.0,nan,0.10813818479604992,0.1282239652766845,0.267803213224,0.347033875472
101,0.0,2.0,nan,0.5018730705116115,0.17409823544547495,0.173254186567,1.0281174514
102,0.0,nan,nan,nan,nan,nan,nan
103,0.0,1.0,nan,-0.043423354471,0.0504173374571,0.128839346253,0.0385660672208
103,0.0,nan,nan,nan,nan,nan,nan
104,0.0,nan,nan,nan,nan,nan,nan
105,0.0,nan,nan,nan,nan,nan,nan
106,0.0,nan,nan,nan,nan,nan,nan
107,0.0,nan,nan,nan,nan,nan,nan
108,0.0,1.0,nan,0.012342277051901924,0.02240163952790811,0.0557744408447,0.0784419741036
109,0.0,nan,nan,nan,nan,nan,nan
109,0.0,2.0,nan,0.338291810285,0.130995635965,0.170314625282,0.697184129398
110,0.0,nan,nan,nan,nan,nan,nan
111,0.0,1.0,nan,0.02796664884683329,0.05006015319282628,0.121420238268,0.095552820314
112,0.0,1.0,nan,0.16466746981786834,0.08446597127163458,0.168702666301,0.284016491696
113,1,2,2,0.5744456729106948,0.4767829698990875,0.323305874106,1.41122376293
114,0.0,nan,nan,nan,nan,nan,nan
115,0.0,nan,nan,nan,nan,nan,nan
116,0.0,1.0,nan,-0.014983207801755234,0.034147401619804264,0.0864569316433,-0.0063119055823
117,0.0,nan,nan,nan,nan,nan,nan
118,0.0,1.0,nan,-0.09280442744988057,0.021764704934704733,0.0538030785168,0.0109517323899
119,0.0,2.0,nan,0.421436916376,0.176231711492,0.187027994185,0.888237649356
119,1.0,nan,nan,nan,nan,nan,nan
120,0.0,2.0,nan,0.450333283214,0.131189823558,0.122627165637,1.0803664338
120,1.0,2.0,2.0,0.60519963835,0.361983099886,0.246221266582,1.40247269001
120,0.0,nan,nan,nan,nan,nan,nan
120,0.0,2.0,nan,0.441455662359,0.216717378814,0.256496014347,0.811025546558
121,0.0,nan,nan,nan,nan,nan,nan
122,1,2,2,0.4884598969080689,0.31051434914384546,0.262927453564,1.14524948438
123,1,1,2,0.14913353037565272,0.09635449311052346,0.196516932367,0.244161307465
124,0.0,nan,nan,nan,nan,nan,nan
125,0.0,nan,nan,nan,nan,nan,nan
126,0.0,1.0,nan,0.09733010176723719,0.05667944008736376,0.105778992241,0.350545423902
127,1.0,nan,nan,nan,nan,nan,nan
128,0.0,1.0,nan,0.018929862710541347,0.026740401366721907,0.0692860330963,0.0280717830871
129,0.0,nan,nan,nan,nan,nan,nan
130,1,2,2,0.6420657627413805,0.1863539870553429,0.157101340063,1.25017879673
131,0.0,1.0,nan,0.207366708430703,0.11595451351224015,0.195351459135,0.416082512134
132,0.0,1.0,nan,0.02961152452524385,0.02685765735173996,0.0668834824187,0.0583536985178
133,0.0,nan,nan,nan,nan,nan,nan
134,0.0,1.0,nan,0.11627464459555603,0.03227551236581741,0.0587931782671,0.373829164663
135,1,2,2,0.5521028816821488,0.3508844985718235,0.3477102463,1.01140671616
136,0.0,1.0,nan,0.04492708790621601,0.02903388467047506,0.0626575950485,0.224377929588
137,0.0,2.0,nan,0.386482376934,0.0871017505436,0.10776820074,0.840757610788
137,0.0,2.0,nan,0.27007590596,0.0605440981045,0.0888384208373,0.574628772753
138,0.0,nan,nan,nan,nan,nan,nan
139,0.0,nan,nan,nan,nan,nan,nan
140,1,2,2,0.2589518477558116,0.2788385390203354,0.391577640831,0.659512977785
141,1,1,1,0.06724067793459967,0.13313257364687958,0.302129840141,0.12684339309
142,0.0,2.0,nan,0.39856796144034695,0.18520341120982714,0.181107705044,0.958584839955
143,1.0,nan,nan,nan,nan,nan,nan
144,0.0,nan,nan,nan,nan,nan,nan
145,0.0,1.0,nan,0.061383953522980525,0.024104755140959916,0.0645406335237,-0.0286032077846
146,0.0,1.0,nan,0.276983578965,0.163452275582,0.229912326963,0.728728430655
146,0.0,nan,nan,nan,nan,nan,nan
147,0.0,nan,nan,nan,nan,nan,nan
148,0.0,1.0,nan,0.10394743000928826,0.09888497269376734,0.198356553454,0.286272897233
149,0.0,nan,nan,nan,nan,nan,nan
150,0.0,nan,nan,nan,nan,nan,nan
150,0.0,1.0,nan,0.242952209856,0.0753452086807,0.127863715916,0.484496697584
151,0.0,1.0,nan,0.17764252745592707,0.3609278754252029,0.713177217257,0.288717526454
152,0.0,1.0,nan,-0.10773002209473838,0.05112190973472175,0.140381353491,-0.0271656864638
153,0.0,1.0,nan,0.1929651207910931,0.16028268481830846,0.20600103725,0.728065077986
154,0.0,nan,nan,nan,nan,nan,nan
155,1,2,2,0.39799472190684687,0.08262606985595294,0.111506508473,0.692266839688
156,0.0,1.0,nan,0.12812212903612658,0.03954321539371896,0.0838071755402,0.203733273676
157,0.0,nan,nan,nan,nan,nan,nan
158,0.0,nan,nan,nan,nan,nan,nan
159,0.0,1.0,nan,0.2273096189590321,0.07921766927859174,0.132748713793,0.475343719947
160,0.0,2.0,nan,0.2325634302038708,0.0839831294362624,0.131782687197,0.529463085897
161,0.0,nan,nan,nan,nan,nan,nan
162,0.0,2.0,nan,0.29726417695626833,0.16831501518739647,0.238092657002,0.667941623323
163,0.0,1.0,nan,0.14190601449793727,0.02247662927199532,0.0563785353872,0.0749195326085
164,0.0,1.0,nan,0.05470031874842183,0.04764747575764228,0.104933672971,0.2087821167
165,1.0,2.0,2.0,0.315935993638,0.185655296932,0.18185487717,1.08162399804
165,0.0,nan,nan,nan,nan,nan,nan
166,0.0,nan,nan,nan,nan,nan,nan
167,0.0,nan,nan,nan,nan,nan,nan
168,0.0,1.0,nan,0.11758504227881145,0.03657853441495976,0.0737305989519,0.281797843858
169,1.0,nan,nan,nan,nan,nan,nan
170,0.0,1.0,nan,-0.042669230516599856,0.06040076517994023,0.146300988705,0.0797755963166
171,1.0,nan,nan,nan,nan,nan,nan
172,0.0,1.0,nan,0.2760315426673032,0.1019450713542735,0.107915403678,0.916482635976
173,1.0,2.0,2.0,0.42908149975,0.206927055621,0.229975051673,0.883710866618
173,0.0,nan,nan,nan,nan,nan,nan
174,0.0,nan,nan,nan,nan,nan,nan
175,0.0,nan,nan,nan,nan,nan,nan
176,0.0,1.0,nan,0.236459099858,0.117730760408,0.202663219965,0.428773546133
176,0.0,nan,nan,nan,nan,nan,nan
177,0.0,nan,nan,nan,nan,nan,nan
178,0.0,nan,nan,nan,nan,nan,nan
178,0.0,nan,nan,nan,nan,nan,nan
178,0.0,1.0,nan,0.24970779165,0.147654306237,0.225097263031,0.556452772506
179,0.0,nan,nan,nan,nan,nan,nan
180,0.0,2.0,nan,0.23535109710589763,0.17274356188255932,0.344629233942,0.311761988686
181,1.0,nan,nan,nan,nan,nan,nan
182,0.0,nan,nan,nan,nan,nan,nan
183,0.0,2.0,nan,0.286805626024,0.258282571735,0.332278726721,0.760917138828
183,0.0,nan,nan,nan,nan,nan,nan
184,0.0,2.0,nan,0.4687598184371758,0.14733028424437927,0.123841941541,1.18137974937
185,1,2,2,0.43078273725766536,0.07900484581424916,0.0754975954764,1.04742397971
186,0.0,1.0,nan,0.16939708662950273,0.04729214627138655,0.101515835757,0.218933472218
187,0.0,1.0,nan,-0.030956544774231314,0.09010077146920682,0.226449199951,0.0497387308963
188,0.0,1.0,nan,0.20184787173053984,0.18157127422524239,0.316504849466,0.409074823174
189,0.0,1.0,nan,0.213846412234,0.111815025369,0.182639001952,0.437442386845
189,0.0,1.0,nan,0.151765226695,0.0784596415218,0.154475966358,0.289369090033
190,0.0,1.0,nan,0.0862846362984952,0.05381611930825302,0.110792534928,0.212773405135
191,0.0,2.0,nan,0.444138224127686,0.1665759824387663,0.176540128078,0.899227520373
192,0.0,nan,nan,nan,nan,nan,nan
193,0.0,2.0,nan,0.5650162908767111,0.10684222158390082,0.147509298049,0.684423645331
194,0.0,nan,nan,nan,nan,nan,nan
195,0.0,1.0,nan,0.1477009906382867,0.11843690749437895,0.240435984536,0.305015012495
196,0.0,nan,nan,nan,nan,nan,nan
197,0.0,1.0,nan,0.020142388251214054,0.03263570077910553,0.0713181098505,0.220641273084
198,0.0,2.0,nan,0.3455415815111853,0.14156394055054877,0.200767104255,0.610001758266
199,1.0,nan,nan,nan,nan,nan,nan
200,1.0,2.0,2.0,0.484215091824,0.22781707516,0.286981216279,0.803524491923
200,0.0,nan,nan,nan,nan,nan,nan
201,0.0,1.0,nan,0.05095179546013624,0.1233549557470149,0.277916205639,0.19759371469
202,0.0,nan,nan,nan,nan,nan,nan
203,0.0,nan,nan,nan,nan,nan,nan
204,1,3,3,0.6357372695390621,0.07321798410190243,0.0726160962122,1.08015416728
205,1.0,nan,nan,nan,nan,nan,nan
206,0.0,nan,nan,nan,nan,nan,nan
207,1,1,2,0.12390867844081939,0.1307049489126681,0.161897270739,0.810740558214
208,0.0,1.0,nan,0.10316283222278967,0.04494052761860608,0.0979118045239,0.219613855189
209,0.0,nan,nan,nan,nan,nan,nan
210,0.0,1.0,nan,0.015484125165518881,0.03905359113676845,0.0764704897185,0.322529548222
211,1,2,2,0.5804785959910737,0.1508487154602028,0.144966896725,1.10693683563
212,0.0,1.0,nan,0.2456959029613522,0.11356386965152862,0.170234538807,0.580559764858
213,0.0,2.0,nan,0.2680651953432728,0.28715049151014005,0.358280154669,0.769366201814
214,0.0,1.0,nan,0.009132518733813101,0.03951035751260362,0.116620079742,-0.130402593545
215,0.0,nan,nan,nan,nan,nan,nan
216,0.0,1.0,nan,0.023152005732799952,0.17730381424905778,0.436031958069,0.0489860728272
217,0.0,nan,nan,nan,nan,nan,nan
217,0.0,2.0,nan,0.32328374482,0.206214008889,0.327744772022,0.529053899013
218,0.0,nan,nan,nan,nan,nan,nan
219,0.0,1.0,nan,0.10333051352968069,0.05250545431785639,0.101916302914,0.253500834914
220,0.0,nan,nan,nan,nan,nan,nan
221,0.0,nan,nan,nan,nan,nan,nan
222,0.0,1.0,nan,0.2635134840800452,0.1314225733913847,0.176656601537,0.701970001636
223,1,2,2,0.2365879618725523,0.06518357440025314,0.134721107948,0.241774918132
224,0.0,nan,nan,nan,nan,nan,nan
224,1.0,2.0,2.0,0.384689505858,0.208044415596,0.254992933473,0.808734122687
225,0.0,nan,nan,nan,nan,nan,nan
226,0.0,1.0,nan,0.17513357929422058,0.05736331845875293,0.0982777537971,0.460958760841
227,1.0,nan,nan,nan,nan,nan,nan
228,0.0,nan,nan,nan,nan,nan,nan
228,1.0,2.0,2.0,0.306545614462,0.108698654162,0.138226714831,0.735389440913
228,1.0,nan,nan,nan,nan,nan,nan
229,0.0,nan,nan,nan,nan,nan,nan
230,0.0,nan,nan,nan,nan,nan,nan
231,1,2,2,0.45093436165777406,0.2943105609233736,0.397603963987,0.668890961269
232,0.0,1.0,nan,0.07458299469924926,0.018077883002341914,0.0410997463938,0.139968419728
233,1.0,nan,nan,nan,nan,nan,nan
234,1.0,nan,nan,nan,nan,nan,nan
235,0.0,1.0,nan,0.11362234782,0.119482302447,0.258456906215,0.178461282988
235,0.0,1.0,nan,0.0465009690253,0.0596102833895,0.105352933314,0.460796589145
236,1.0,2.0,2.0,0.450993784162,0.117919269498,0.142079123069,0.832842450881
236,0.0,2.0,nan,0.388591540455,0.118687905531,0.161001782137,0.700915954828
237,0.0,2.0,nan,0.3814774962710576,0.18813166074484378,0.192118804529,0.94320326848
238,0.0,1.0,nan,0.08466740951050178,0.022458348949104777,0.044849272061,0.260343597804
239,1.0,nan,nan,nan,nan,nan,nan
240,1.0,nan,nan,nan,nan,nan,nan
241,0.0,nan,nan,nan,nan,nan,nan
242,1.0,nan,nan,nan,nan,nan,nan
242,0.0,2.0,nan,0.244611926301,0.0961671917787,0.223600725041,0.11877265645
243,1.0,nan,nan,nan,nan,nan,nan
244,0.0,nan,nan,nan,nan,nan,nan
245,1.0,nan,nan,nan,nan,nan,nan
246,0.0,1.0,nan,-0.03934539451112462,0.04945930679940394,0.141423359785,-0.0972423068497
247,1.0,nan,nan,nan,nan,nan,nan
248,0.0,2.0,nan,0.26125482217992874,0.08905911485152393,0.15897340899,0.401207876149
249,0.0,nan,nan,nan,nan,nan,nan
250,0.0,nan,nan,nan,nan,nan,nan
251,0.0,nan,nan,nan,nan,nan,nan
252,0.0,1.0,nan,0.0385801311457,0.0202777792491,0.0517058457103,0.112274715695
252,0.0,1.0,nan,0.0352967108086,0.0270929139183,0.0622442274756,0.127207619239
252,0.0,1.0,nan,0.083085185148,0.0215873854811,0.0504278151043,0.125723793392
253,0.0,nan,nan,nan,nan,nan,nan
254,0.0,1.0,nan,0.14318583788150868,0.0745024740876841,0.117569469894,0.522867279957
255,0.0,nan,nan,nan,nan,nan,nan
